Year,RS,RA,W,OBP,SLG,BA,G,OOBP,OSLG,RD
1906,528,564,71,0.307,0.307,0.241,154,,,-36
1905,708,603,83,0.318,0.336,0.26,155,,,105
1904,571,784,52,0.305,0.316,0.248,155,,,-213
1903,617,738,49,0.322,0.341,0.268,139,,,-121
1902,484,649,56,0.305,0.293,0.247,138,,,-165
1901,668,543,83,0.334,0.346,0.266,140,,,125
1900,810,792,75,0.356,0.378,0.29,141,,,18
1899,916,743,94,0.363,0.395,0.301,154,,,173
1898,823,784,78,0.348,0.377,0.28,150,,,39
1897,752,792,55,0.353,0.398,0.293,134,,,-40
1896,890,891,62,0.363,0.413,0.295,130,,,-1
1895,1068,957,78,0.394,0.45,0.33,133,,,111
1894,1179,995,71,0.415,0.478,0.35,132,,,184
1893,1011,841,72,0.368,0.431,0.301,133,,,170
1892,860,690,87,0.334,0.367,0.262,155,,,170
1891,756,773,68,0.326,0.322,0.252,138,,,-17
1890,823,707,78,0.35,0.364,0.269,133,,,116
1889,742,748,63,0.327,0.362,0.266,130,,,-6
1888,535,509,69,0.276,0.29,0.225,132,,,26
1887,901,702,75,0.337,0.389,0.274,128,,,199
1886,621,498,71,0.289,0.327,0.24,119,,,123
1885,513,511,56,0.27,0.302,0.229,111,,,2
1884,549,824,39,0.272,0.301,0.234,113,,,-275
1883,437,887,17,0.269,0.32,0.24,99,,,-450
